cos_cname,cos_ename,cos_code
人工智慧概論,Intro. to Artificial Intelligence,"[""DCP3510""]"
作業系統概論,Introduction to Operating Systems,"[""DCP3108"",""DCP4334""]"
基礎程式設計,Basic Programming,"[""DCP1160"",""DCP2106"",""DCP1236""]"
密碼學概論,Introduction to Cryptography,"[""DCP1323""]"
嵌入式系統設計概論與實作,Introduction to Embedded Systems Design and Implem,"[""DCP3516"",""DCP3515""]"
影像處理概論,Introduction to Image Processing,"[""DCP4585""]"
微分方程,Differential Equation,"[""DCP2202"",""DCP2203""]"
微積分(一),Calculus (I),"[""CHU8069"",""DAM1355"",""DAM1345"",""DAM1357"",""DAM1367"",""DCN1305"",""CHU8070"",""DAM1305""]"
微積分(二),Calculus (II),"[""DAM1346"",""DAM1356"",""DEE1207"",""DAM1368"",""CHU8071"",""CHU7781"",""DAM1358"",""CHU7748""]"
微處理機系統實驗,Microprocessor System Lab.,"[""DCP3117"",""DCP3116"",""DCP1155""]"
數位系統設計,Digital Systems Design,"[""DCP1172""]"
數位電路實驗,Digital Circuit Lab.,"[""DCP2109"",""DCP1239"",""DCP2370"",""DCP2110""]"
數位電路設計,Digital Circuit Design,"[""DCP1157"",""DCP1247""]"
數值方法,Numerical Methods,"[""DCP3352""]"
機率,Probability,"[""DCP1206"",""DCP3351""]"
正規語言概論,Introduction to Formal Language,"[""DCP3321"",""DCP3122""]"
演算法概論,Introduction to Algorithms,"[""DCP3573"",""DCP1208""]"
無線網路,Wireless Networks,"[""IOE5016""]"
物件導向程式設計,Object-Oriented Programming,"[""DCP1159"",""DCP1193""]"
網路程式設計概論,Intro. to Network Programming,"[""DCP2368""]"
網路通訊原理,Principles of communications networks,"[""DCP1228""]"
線性代數,Linear Algebra,"[""DCP2354"",""DCP1234""]"
編譯器設計概論,Intro. to Compiler Design,"[""DCP4529"",""DCP1251""]"
計算機圖學概論,Introduction to Computer Graphics,"[""DCP4516""]"
計算機概論與程式設計,Introduction to Computers and Programming,"[""DCP1204"",""DCP1203""]"
計算機組織,Computer Organization,"[""DCP2108"",""DCP3362""]"
計算機網路概論,Intro. to Computer Networks,"[""DCP1207"",""DCP4513""]"
訊號與系統,Signals and Systems,"[""DCP1175""]"
資料庫系統概論,Introduction to Database Systems,"[""DCP1187""]"
資料結構,Data Structures,"[""DCP2332"",""DCP1205""]"
資料結構與物件導向程式設計,Data Structures and Object-oriented Programming,"[""DCP1242"",""DCP1243""]"
資訊工程專題(一),Computer Science and Engineering Projects (I),"[""DCP3103"",""DCP3112""]"
資訊工程專題(二),Computer Science and Engineering Projects (II),"[""DCP4121"",""DCP4120""]"
資訊工程研討,Computer Science Seminars,"[""DCP4140"",""DCP4141"",""DCP3115""]"
軟硬體協同設計概論與實作,Introduction to Hardware-Software Codesign and Imp,"[""DCP1225"",""DCP3118""]"
軟體工程概論,Introduction to Software Engineering,"[""DCP4594""]"
離散數學,Discrete Mathematics,"[""DCP1244"",""DCP2353""]"
電腦安全概論,Introduction to Computer Security,"[""DCP3109"",""DCP3110""]"
電路與電子學(一),Electrical Circuits and Electronics (I),"[""DCP1229""]"
電路與電子學(二),Electrical Circuits and Electronics (II),"[""DCP1231""]"
物化生三選一(一),,"[""DCV1512"",""DPS1003"",""DBT1105"",""DEE1509"",""DAC1205"",""DPN1202"",""DEP1309"",""DMA1120"",""DEE1204"",""DBT1141"",""DBT1103"",""DEP1111"",""DEO1101"",""DEP1113""]"
物化生三選一(二),,"[""DCV1508"",""DEE1300"",""DAC1206"",""DEP1310"",""DEO1102"",""DPN1203"",""DMA1123"",""DBT1142"",""DBT1106"",""DBT1104"",""DEP1112"",""DEP1114"",""DPS1004""]"
導師時間,Mentor's Hours,"[""DCP1200"",""DCP1329""]"
